Time,Q1,T1
2.480000000000000000e+02,1.785000000000000000e+02,8.308895405669599654e+01
2.490000000000000000e+02,1.785000000000000000e+02,8.260019550342130401e+01
2.500000000000000000e+02,1.785000000000000000e+02,8.308895405669599654e+01
2.510000000000000000e+02,1.785000000000000000e+02,8.211143695014662569e+01
2.520000000000000000e+02,1.785000000000000000e+02,8.260019550342130401e+01
2.530000000000000000e+02,1.785000000000000000e+02,8.406647116324535318e+01
2.540000000000000000e+02,1.785000000000000000e+02,8.406647116324535318e+01
2.550000000000000000e+02,1.785000000000000000e+02,8.406647116324535318e+01
2.560000000000000000e+02,1.785000000000000000e+02,8.308895405669599654e+01
2.570000000000000000e+02,1.785000000000000000e+02,8.406647116324535318e+01
2.580000000000000000e+02,1.785000000000000000e+02,8.406647116324535318e+01
2.590000000000000000e+02,1.785000000000000000e+02,8.357771260997067486e+01
2.600000000000000000e+02,1.785000000000000000e+02,8.406647116324535318e+01
2.610000000000000000e+02,1.785000000000000000e+02,8.455522971652004571e+01
2.620000000000000000e+02,1.785000000000000000e+02,8.455522971652004571e+01
2.630000000000000000e+02,1.785000000000000000e+02,8.504398826979472403e+01
2.640000000000000000e+02,1.785000000000000000e+02,8.455522971652004571e+01
2.650000000000000000e+02,1.785000000000000000e+02,8.553274682306940235e+01
2.660000000000000000e+02,1.785000000000000000e+02,8.553274682306940235e+01
2.670000000000000000e+02,1.785000000000000000e+02,8.602150537634409488e+01
2.680000000000000000e+02,1.785000000000000000e+02,8.455522971652004571e+01
2.690000000000000000e+02,1.785000000000000000e+02,8.651026392961877320e+01
2.700000000000000000e+02,1.785000000000000000e+02,8.602150537634409488e+01
2.710000000000000000e+02,1.785000000000000000e+02,8.602150537634409488e+01
2.720000000000000000e+02,1.785000000000000000e+02,8.651026392961877320e+01
2.730000000000000000e+02,1.785000000000000000e+02,8.553274682306940235e+01
2.740000000000000000e+02,1.785000000000000000e+02,8.651026392961877320e+01
2.750000000000000000e+02,1.785000000000000000e+02,8.651026392961877320e+01
2.760000000000000000e+02,1.785000000000000000e+02,8.699902248289345152e+01
2.770000000000000000e+02,1.785000000000000000e+02,8.748778103616812984e+01
2.780000000000000000e+02,1.785000000000000000e+02,8.699902248289345152e+01
2.790000000000000000e+02,1.785000000000000000e+02,8.748778103616812984e+01
2.800000000000000000e+02,1.785000000000000000e+02,8.748778103616812984e+01
2.810000000000000000e+02,1.785000000000000000e+02,8.797653958944280816e+01
2.820000000000000000e+02,1.785000000000000000e+02,8.846529814271750070e+01
2.830000000000000000e+02,1.785000000000000000e+02,8.797653958944280816e+01
2.840000000000000000e+02,1.785000000000000000e+02,8.797653958944280816e+01
2.850000000000000000e+02,1.785000000000000000e+02,8.846529814271750070e+01
2.860000000000000000e+02,1.785000000000000000e+02,8.797653958944280816e+01
2.870000000000000000e+02,1.785000000000000000e+02,8.846529814271750070e+01
2.880000000000000000e+02,1.785000000000000000e+02,8.846529814271750070e+01
2.890000000000000000e+02,1.785000000000000000e+02,8.895405669599217902e+01
2.900000000000000000e+02,1.785000000000000000e+02,8.797653958944280816e+01
2.910000000000000000e+02,1.785000000000000000e+02,8.895405669599217902e+01
2.920000000000000000e+02,1.785000000000000000e+02,8.895405669599217902e+01
2.930000000000000000e+02,1.785000000000000000e+02,8.895405669599217902e+01
2.940000000000000000e+02,1.785000000000000000e+02,8.944281524926687155e+01
2.950000000000000000e+02,1.785000000000000000e+02,8.944281524926687155e+01
2.960000000000000000e+02,1.785000000000000000e+02,8.944281524926687155e+01
2.970000000000000000e+02,1.785000000000000000e+02,8.944281524926687155e+01
2.980000000000000000e+02,1.785000000000000000e+02,8.993157380254154987e+01
2.990000000000000000e+02,1.785000000000000000e+02,8.895405669599217902e+01
3.000000000000000000e+02,1.785000000000000000e+02,8.993157380254154987e+01
3.010000000000000000e+02,1.785000000000000000e+02,9.042033235581622819e+01
3.020000000000000000e+02,1.785000000000000000e+02,8.944281524926687155e+01
3.030000000000000000e+02,1.785000000000000000e+02,9.042033235581622819e+01
3.040000000000000000e+02,1.785000000000000000e+02,9.042033235581622819e+01
3.050000000000000000e+02,1.785000000000000000e+02,9.090909090909090651e+01
3.060000000000000000e+02,1.785000000000000000e+02,9.090909090909090651e+01
3.070000000000000000e+02,1.785000000000000000e+02,8.993157380254154987e+01
3.080000000000000000e+02,1.785000000000000000e+02,9.139784946236559904e+01
3.090000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.100000000000000000e+02,1.785000000000000000e+02,9.042033235581622819e+01
3.110000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.120000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.130000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.140000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.150000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.160000000000000000e+02,1.785000000000000000e+02,9.139784946236559904e+01
3.170000000000000000e+02,1.785000000000000000e+02,9.237536656891495568e+01
3.180000000000000000e+02,1.785000000000000000e+02,9.237536656891495568e+01
3.190000000000000000e+02,1.785000000000000000e+02,9.237536656891495568e+01
3.200000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.210000000000000000e+02,1.785000000000000000e+02,9.335288367546431232e+01
3.220000000000000000e+02,1.785000000000000000e+02,9.286412512218963400e+01
3.230000000000000000e+02,1.785000000000000000e+02,9.335288367546431232e+01
3.240000000000000000e+02,1.785000000000000000e+02,9.286412512218963400e+01
3.250000000000000000e+02,1.785000000000000000e+02,9.286412512218963400e+01
3.260000000000000000e+02,1.785000000000000000e+02,9.384164222873900485e+01
3.270000000000000000e+02,1.785000000000000000e+02,9.188660801564027736e+01
3.280000000000000000e+02,1.785000000000000000e+02,9.384164222873900485e+01
3.290000000000000000e+02,1.785000000000000000e+02,9.384164222873900485e+01
3.300000000000000000e+02,1.785000000000000000e+02,9.384164222873900485e+01
3.310000000000000000e+02,1.785000000000000000e+02,9.384164222873900485e+01
3.320000000000000000e+02,1.785000000000000000e+02,9.433040078201369738e+01
3.330000000000000000e+02,1.785000000000000000e+02,9.335288367546431232e+01
3.340000000000000000e+02,1.785000000000000000e+02,9.433040078201369738e+01
3.350000000000000000e+02,1.785000000000000000e+02,9.433040078201369738e+01
3.360000000000000000e+02,1.785000000000000000e+02,9.481915933528837570e+01
3.370000000000000000e+02,1.785000000000000000e+02,9.530791788856305402e+01
3.380000000000000000e+02,1.785000000000000000e+02,9.384164222873900485e+01
3.390000000000000000e+02,1.785000000000000000e+02,9.530791788856305402e+01
3.400000000000000000e+02,1.785000000000000000e+02,9.579667644183773234e+01
3.410000000000000000e+02,1.785000000000000000e+02,9.579667644183773234e+01
3.420000000000000000e+02,1.785000000000000000e+02,9.579667644183773234e+01
3.430000000000000000e+02,1.785000000000000000e+02,9.579667644183773234e+01
3.440000000000000000e+02,1.785000000000000000e+02,9.481915933528837570e+01
3.450000000000000000e+02,1.785000000000000000e+02,9.579667644183773234e+01
3.460000000000000000e+02,1.785000000000000000e+02,9.530791788856305402e+01
3.470000000000000000e+02,1.785000000000000000e+02,9.628543499511241066e+01
3.480000000000000000e+02,1.785000000000000000e+02,9.530791788856305402e+01
